method,basis,charge,pseudopotential,system,totalenergy,totalenergy-stocherr,totalenergy-syserr,SHCIref,SHCIreferr,HFref,Number-of-determinants,beta,truncation-weight,trial-wavefunction,ncas,ncore,note
AFQMC(MD),vdz,0,trail,CrO,-102.5533,0.001,0.0,-102.55837,2.442e-06,-101.8381354486648,118.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),v5z,0,trail,VO,-87.3035,0.0011,0.0,-87.3073938172,1e-05,-86.40843884648703,1322.0,,0.001,tCASCSF,12.0,5.0,
AFQMC(MD),vdz,0,trail,TiO,-73.9019,0.0009,0.0,-73.90375,6.77e-07,-73.26973605789902,220.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),vtz,0,trail,VO,-87.2291,0.0012,0.0,-87.23526,2e-05,-86.40670018837703,1699.0,,0.001,tCASCSF,12.0,5.0,
AFQMC(MD),vdz,0,trail,VO,-87.0818,0.001,0.0,-87.08577,2.7300000000000003e-05,-86.4002119655646,1781.0,,0.001,tCASCSF,12.0,5.0,
AFQMC(MD),v5z,0,trail,TiO,-74.0875,0.0014,0.0,-74.09147310520001,1e-05,-73.2771786400687,219.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),vqz,0,trail,CuO,-213.4841,0.0017,0.0,-213.4842442,1e-05,-212.24422133071548,494.0,,0.001,tCASSCF,12.0,5.0,
AFQMC(MD),vqz,1,trail,Cu,-197.2585,0.0014,0.0,-197.25343,3.012e-06,-196.32534219464927,154.0,,0.01,tCASCSF,19.0,4.0,
AFQMC(MD),v5z,0,trail,CuO,-213.5277,0.0016,0.0,-213.5291282959,1e-05,-212.2443632841544,419.0,,0.001,tCASSCF,12.0,5.0,
AFQMC(MD),vqz,0,trail,ScO,-62.5662,0.0016,0.0,-62.56845381,1e-05,-61.834924297751634,177.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),vdz,0,trail,Ti,-57.8789,0.0006,0.0,-57.88305,2.26e-07,-57.52051227493378,40.0,,0.001,tCASCSF,10.0,4.0,
AFQMC(MD),v5z,1,trail,Sc,-46.2392,0.0005,0.0,-46.24115,1.398e-05,-45.86020861913251,74.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vqz,1,trail,Sc,-46.2307,0.0006,0.0,-46.23311,9.94e-07,-45.859964744612796,50.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vtz,1,trail,Sc,-46.2088,0.0004,0.0,-46.21149000000001,0.0,-45.85935928101564,76.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),vdz,1,trail,Sc,-46.155,0.0005,0.0,-46.15683,0.0,-45.85651158235275,82.0,,0.001,tCASCSF,9.0,1.0,
AFQMC(MD),v5z,0,trail,Sc,-46.4791,0.0011,0.0,-46.48213,0.0,-46.05773792407675,9.0,,0.001,tCASCSF,6.0,4.0,
AFQMC(MD),vqz,0,trail,Sc,-46.4726,0.0012,0.0,-46.474,1.07e-06,-46.057726629346845,11.0,,0.001,tCASCSF,6.0,4.0,
AFQMC(MD),vtz,0,trail,Sc,-46.4504,0.0012,0.0,-46.4523,8.800000000000002e-08,-46.05746799644578,11.0,,0.001,tCASCSF,6.0,4.0,
AFQMC(MD),vdz,0,trail,Sc,-46.3944,0.0012,0.0,-46.39685,5.4e-08,-46.056720086471316,11.0,,0.001,tCASCSF,6.0,4.0,
AFQMC(MD),v5z,1,trail,O,-15.3436,0.0004,0.0,-15.34479,0.0,-15.210911583355957,1.0,,0.001,tCASCSF,4.0,0.0,
AFQMC(MD),vqz,1,trail,O,-15.3413,0.0005,0.0,-15.3421,0.0,-15.210758359146777,1.0,,0.001,tCASCSF,4.0,0.0,
AFQMC(MD),vtz,1,trail,O,-15.3324,0.0003,0.0,-15.33358,0.0,-15.210120374674373,1.0,,0.001,tCASCSF,4.0,0.0,
AFQMC(MD),vdz,1,trail,O,-15.2997,0.0003,0.0,-15.300670000000002,0.0,-15.209469738930444,1.0,,0.001,tCASCSF,4.0,0.0,
AFQMC(MD),v5z,0,trail,O,-15.8418,0.0002,0.0,-15.84317,0.0,-15.651935198107855,131.0,,0.001,tCASCSF,13.0,0.0,
AFQMC(MD),vqz,0,trail,O,-15.8379,0.0002,0.0,-15.83909,5.31e-06,-15.651914835093455,132.0,,0.001,tCASCSF,13.0,0.0,
AFQMC(MD),vtz,0,trail,O,-15.8257,0.0002,0.0,-15.82702,0.0,-15.65178729066239,121.0,,0.001,tCASCSF,13.0,0.0,
AFQMC(MD),vdz,0,trail,O,-15.7808,0.0001,0.0,-15.78125,0.0,-15.650898615762124,114.0,,0.001,tCASCSF,13.0,0.0,
AFQMC(MD),vdz,0,trail,ScO,-62.4192,0.0013,0.0,-62.42004,9.92e-06,-61.829342751826275,163.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),vtz,0,trail,ScO,-62.5283,0.0013,0.0,-62.53013000000001,9.96e-06,-61.83374588456312,148.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),v5z,0,trail,ScO,-62.5794,0.0012,0.0,-62.5821409609,1e-05,-61.8350828626785,152.0,,0.001,tCASCSF,9.0,5.0,
AFQMC(MD),v5z,1,trail,Cu,-197.2994,0.0016,0.0,-197.29251,3.86e-07,-196.3253458468569,135.0,,0.01,tCASCSF,19.0,4.0,
AFQMC(MD),vdz,0,trail,V,-71.0746,0.0008,0.0,-71.07767,3.2600000000000003e-07,-70.69525960473436,24.0,,0.001,tCASCSF,9.0,4.0,
AFQMC(MD),vtz,0,trail,TiO,-74.0264,0.001,0.0,-74.03085,1.99e-05,-73.27527588824228,174.0,,0.001,tCASCSF,9.0,5.0,
B3LYP,cbs,1,trail,Sc,-46.192477854522686,0.0,0.0,-46.2493458862109,0.0,-45.860224963855885,,,,,,,
B3LYP,cbs,1,trail,O,-15.332792620968052,0.0,0.0,-15.348000500825664,0.0,-15.21146054892568,,,,,,,
B3LYP,cbs,1,trail,Mn,-103.86465076668968,0.0,0.0,-103.88361082582092,0.0,-103.2996475233697,,,,,,,
B3LYP,cbs,1,trail,Fe,-123.47993747602864,0.0,0.0,-123.4774306495826,0.0,-122.80533143963957,,,,,,,
B3LYP,cbs,1,trail,Cr,-86.53103154355685,0.0,0.0,-86.55468488529472,0.0,-85.99875942985739,,,,,,,
B3LYP,cbs,0,trail,VO,-87.26110889787012,0.0,0.0,-87.32689060024185,0.0,-86.4085589710134,,,,,,,
B3LYP,cbs,0,trail,V,-71.19515024170316,0.0,0.0,-71.23455541725886,0.0,-70.69715593256555,,,,,,,
B3LYP,cbs,0,trail,TiO,-74.04560764894717,0.0,0.0,-74.10825849037565,0.0,-73.27741268388714,,,,,,,
B3LYP,cbs,0,trail,Ti,-57.95957944025041,0.0,0.0,-58.005411399250676,0.0,-57.52353975763188,,,,,,,
B3LYP,cbs,1,trail,Ti,-57.711373618041364,0.0,0.0,-57.754145946506405,0.0,-57.32024446051594,,,,,,,
B3LYP,cbs,0,trail,ScO,-62.51809050202735,0.0,0.0,-62.59646590077432,0.0,-61.83521387628593,,,,,,,
B3LYP,cbs,0,trail,O,-15.845211226579087,0.0,0.0,-15.84743170708123,0.0,-15.651937613925504,,,,,,,
B3LYP,cbs,0,trail,MnO,-120.11095729045526,0.0,0.0,-120.14879091266157,0.0,-119.1410615195134,,,,,,,
B3LYP,cbs,0,trail,Mn,-104.13766743086208,0.0,0.0,-104.15683288610128,0.0,-103.5177600936748,,,,,,,
B3LYP,cbs,0,trail,FeO,-139.75558079682006,0.0,0.0,-139.77329254270236,0.0,-138.6688002342686,,,,,,,
B3LYP,cbs,0,trail,Fe,-123.7710791014694,0.0,0.0,-123.76799269977768,0.0,-123.03901730654364,,,,,,,
B3LYP,cbs,0,trail,CuO,-213.5931332592483,0.0,0.0,-213.5760822922472,0.0,-212.2443747048047,,,,,,,
B3LYP,cbs,0,trail,Cu,-197.6484725102716,0.0,0.0,-197.61766150093345,0.0,-196.5663857093897,,,,,,,
B3LYP,cbs,0,trail,CrO,-102.77835561293566,0.0,0.0,-102.82674546839144,0.0,-101.8470259825963,,,,,,,
B3LYP,cbs,0,trail,Cr,-86.78907282230992,0.0,0.0,-86.803920071058,0.0,-86.21914367041965,,,,,,,
B3LYP,cbs,0,trail,Sc,-46.428247191666095,0.0,0.0,-46.49069148197452,0.0,-46.05778142019411,,,,,,,
B3LYP,cbs,1,trail,V,-70.95232685759484,0.0,0.0,-70.98633341776896,0.0,-70.47860927092995,,,,,,,
B3LYP,cbs,1,trail,Cu,-197.3502056710726,0.0,0.0,-197.3335144795703,0.0,-196.32535219103852,,,,,,,
CISD,v5z,1,trail,Sc,-46.21311474740944,0.0,0.0,-46.24115,1.398e-05,-45.86020861913251,,,,,,,
CISD,vqz,0,trail,V,-71.15314311536551,0.0,0.0,-71.20578,1e-05,-70.69711953301085,,,,,,,
CISD,vqz,1,trail,V,-70.92269366256376,0.0,0.0,-70.95759,8.42e-07,-70.47878254097698,,,,,,,
CISD,vqz,0,trail,Cr,-86.72133177459902,0.0,0.0,-86.76760999999998,0.0,-86.21909581115591,,,,,,,
CISD,vqz,1,trail,Cr,-86.48159003347618,0.0,0.0,-86.51867,1.764e-06,-85.99861621753384,,,,,,,
CISD,vqz,0,trail,Mn,-104.05705418901907,0.0,0.0,-104.11501,3.37e-06,-103.51774137665831,,,,,,,
CISD,vqz,1,trail,Mn,-103.8066514308268,0.0,0.0,-103.84272,2.375e-06,-103.29943473113407,,,,,,,
CISD,vtz,0,trail,Mn,-104.01100177256602,0.0,0.0,-104.06366,9.9e-07,-103.51751723050371,,,,,,,
CISD,vqz,0,trail,Fe,-123.64921880264481,0.0,0.0,-123.71675,1.63e-05,-123.03893433543683,,,,,,,
CISD,vqz,1,trail,Fe,-123.38307031582758,0.0,0.0,-123.42709,3.122e-06,-122.80506201856676,,,,,,,
CISD,vqz,0,trail,Cu,-197.43658522147632,0.0,0.0,-197.53642,1.98e-05,-196.5663491464669,,,,,,,
CISD,vqz,1,trail,Cu,-197.17123468037133,0.0,0.0,-197.25343,3.012e-06,-196.32534219464927,,,,,,,
CISD,v5z,0,trail,O,-15.83558041901868,0.0,0.0,-15.84317,0.0,-15.651935198107855,,,,,,,
CISD,v5z,1,trail,O,-15.341762230595078,0.0,0.0,-15.34479,0.0,-15.210911583355957,,,,,,,
CISD,vdz,0,trail,ScO,-62.3320508086734,0.0,0.0,-62.42004,9.92e-06,-61.829342751826275,,,,,,,
CISD,vdz,0,trail,TiO,-73.80579895876407,0.0,0.0,-73.90375,6.77e-07,-73.26973605789902,,,,,,,
CISD,vdz,0,trail,VO,-86.96111187700431,0.0,0.0,-87.08577,2.7300000000000003e-05,-86.4002119655646,,,,,,,
CISD,vdz,0,trail,O,-15.777224235933778,0.0,0.0,-15.78125,0.0,-15.650898615762124,,,,,,,
CISD,vdz,1,trail,O,-15.299471686750241,0.0,0.0,-15.300670000000002,0.0,-15.209469738930444,,,,,,,
CISD,vdz,0,trail,Sc,-46.361961548028916,0.0,0.0,-46.39685,5.4e-08,-46.056720086471316,,,,,,,
CISD,vqz,1,trail,Ti,-57.70361895845425,0.0,0.0,-57.73256,7.33e-07,-57.319727268097715,,,,,,,
CISD,vdz,1,trail,Sc,-46.137776497163344,0.0,0.0,-46.15683,0.0,-45.85651158235275,,,,,,,
CISD,vqz,0,trail,Ti,-57.93451643906869,0.0,0.0,-57.983000000000004,2.24e-06,-57.52332478221496,,,,,,,
CISD,vqz,0,trail,Sc,-46.42866848289936,0.0,0.0,-46.474,1.07e-06,-46.057726629346845,,,,,,,
CISD,v5z,0,trail,CuO,-213.34583123109417,0.0,0.0,-213.5291282959,1e-05,-212.2443632841544,,,,,,,
CISD,v5z,0,trail,FeO,-139.55964652955194,0.0,0.0,-139.7416819491,1e-05,-138.66875655750619,,,,,,,
CISD,v5z,0,trail,MnO,-119.96804753429116,0.0,0.0,-120.1223644293,1e-05,-119.14098759444364,,,,,,,
CISD,v5z,0,trail,CrO,-102.62616915606544,0.0,0.0,-102.8027368164,1e-05,-101.84668971203637,,,,,,,
CISD,v5z,0,trail,VO,-87.14023775979561,0.0,0.0,-87.3073938172,1e-05,-86.40843884648703,,,,,,,
CISD,v5z,0,trail,TiO,-73.95988251520977,0.0,0.0,-74.09147310520001,1e-05,-73.2771786400687,,,,,,,
CISD,v5z,0,trail,ScO,-62.465304643585526,0.0,0.0,-62.5821409609,1e-05,-61.8350828626785,,,,,,,
CISD,vqz,0,trail,CuO,-213.3067926488543,0.0,0.0,-213.4842442,1e-05,-212.24422133071548,,,,,,,
CISD,vqz,0,trail,FeO,-139.533580110008,0.0,0.0,-139.7113522,1e-05,-138.6685140260192,,,,,,,
CISD,vqz,0,trail,MnO,-119.94594696535565,0.0,0.0,-120.09707125940001,1e-05,-119.14081170666552,,,,,,,
CISD,vqz,0,trail,CrO,-102.60711753266476,0.0,0.0,-102.779756,1e-05,-101.84627163418828,,,,,,,
CISD,vqz,0,trail,VO,-87.12409179770361,0.0,0.0,-87.288681736,1e-05,-86.40819514293459,,,,,,,
CISD,vqz,0,trail,TiO,-73.9462532335061,0.0,0.0,-74.07548786,1e-05,-73.27696889209976,,,,,,,
CISD,vtz,0,trail,Fe,-123.59610759540286,0.0,0.0,-123.6572,5.71e-07,-123.03857246947872,,,,,,,
CISD,vtz,1,trail,Fe,-123.3296044365411,0.0,0.0,-123.36857,5.41e-07,-122.80424852863449,,,,,,,
CISD,vtz,0,trail,Cu,-197.35493704121518,0.0,0.0,-197.44464,4.59e-07,-196.56611793957046,,,,,,,
CISD,vtz,1,trail,Cu,-197.08986967292128,0.0,0.0,-197.16304,6.5e-07,-196.32520712735686,,,,,,,
CISD,v5z,0,trail,Sc,-46.43590948458834,0.0,0.0,-46.48213,0.0,-46.05773792407675,,,,,,,
CISD,vqz,1,trail,O,-15.339177818333464,0.0,0.0,-15.3421,0.0,-15.210758359146777,,,,,,,
CISD,vqz,1,trail,Sc,-46.20579002755321,0.0,0.0,-46.23311,9.94e-07,-45.859964744612796,,,,,,,
CISD,vdz,0,trail,Ti,-57.84730730030394,0.0,0.0,-57.88305,2.26e-07,-57.52051227493378,,,,,,,
CISD,vqz,0,trail,O,-15.831695188963785,0.0,0.0,-15.83909,5.31e-06,-15.651914835093455,,,,,,,
CISD,vdz,0,trail,V,-71.04141973882327,0.0,0.0,-71.07767,3.2600000000000003e-07,-70.69525960473436,,,,,,,
CISD,vtz,0,trail,CrO,-102.55558011369128,0.0,0.0,-102.71867,1.99e-05,-101.84420581490784,,,,,,,
CISD,vtz,0,trail,MnO,-119.88838485939085,0.0,0.0,-120.02928,2e-05,-119.13957526878391,,,,,,,
CISD,vtz,0,trail,FeO,-139.4695399667299,0.0,0.0,-139.63546000000002,2e-05,-138.667246980313,,,,,,,
CISD,vtz,0,trail,CuO,-213.2152806353837,0.0,0.0,-213.37778,1.664e-06,-212.24349945673225,,,,,,,
CISD,vqz,0,trail,ScO,-62.4538801208993,0.0,0.0,-62.56845381,1e-05,-61.834924297751634,,,,,,,
CISD,vtz,1,trail,Cr,-86.44010746198812,0.0,0.0,-86.47298,2.01e-07,-85.99858355154308,,,,,,,
CISD,vtz,0,trail,Cr,-86.67968611975294,0.0,0.0,-86.72091999999998,4.48e-07,-86.21884242573502,,,,,,,
CISD,vtz,1,trail,V,-70.88817862427051,0.0,0.0,-70.91955,1.62e-07,-70.47870620861032,,,,,,,
CISD,vtz,0,trail,V,-71.12029298309568,0.0,0.0,-71.16898,1.017e-06,-70.69687058820543,,,,,,,
CISD,vtz,1,trail,Ti,-57.67774969994225,0.0,0.0,-57.70424000000001,5.7e-08,-57.318310870851406,,,,,,,
CISD,vtz,0,trail,Ti,-57.90920922243373,0.0,0.0,-57.95463,3.67e-07,-57.522468837232104,,,,,,,
CISD,vtz,1,trail,Sc,-46.186279979363356,0.0,0.0,-46.21149000000001,0.0,-45.85935928101564,,,,,,,
CISD,vtz,0,trail,Sc,-46.40957002910147,0.0,0.0,-46.4523,8.800000000000002e-08,-46.05746799644578,,,,,,,
CISD,vtz,1,trail,O,-15.331009177552593,0.0,0.0,-15.33358,0.0,-15.210120374674373,,,,,,,
CISD,vtz,0,trail,O,-15.82029100258718,0.0,0.0,-15.82702,0.0,-15.65178729066239,,,,,,,
CISD,vtz,0,trail,VO,-87.07948497409346,0.0,0.0,-87.23526,2e-05,-86.40670018837703,,,,,,,
CISD,vtz,0,trail,TiO,-73.90852477983368,0.0,0.0,-74.03085,1.99e-05,-73.27527588824228,,,,,,,
CISD,vtz,0,trail,ScO,-62.42145907911089,0.0,0.0,-62.53013000000001,9.96e-06,-61.83374588456312,,,,,,,
CISD,vdz,0,trail,CuO,-213.00212195877214,0.0,0.0,-213.12303,3.599e-06,-212.238829673217,,,,,,,
CISD,vdz,1,trail,Ti,-57.6149767587303,0.0,0.0,-57.63401999999999,1.1e-08,-57.31379021206569,,,,,,,
CISD,v5z,0,trail,Ti,-57.94412920775004,0.0,0.0,-57.99386,0.0,-57.52335292738408,,,,,,,
CISD,v5z,1,trail,Ti,-57.71334746496681,0.0,0.0,-57.74316,0.0,-57.320045716102676,,,,,,,
CISD,v5z,0,trail,V,-71.16565228983215,0.0,0.0,-71.21983,0.0,-70.69714489237121,,,,,,,
CISD,v5z,1,trail,V,-70.93580741445626,0.0,0.0,-70.97182,0.0,-70.47890119732277,,,,,,,
CISD,v5z,0,trail,Cr,-86.73738822656397,0.0,0.0,-86.78532,0.0,-86.21910985180031,,,,,,,
CISD,v5z,1,trail,Cr,-86.49774235554425,0.0,0.0,-86.53627,0.0,-85.99871084112391,,,,,,,
CISD,vdz,1,trail,Cu,-196.91823270210168,0.0,0.0,-196.96723,1.474e-06,-196.32402730647453,,,,,,,
